Time (s),Left Tibialis Anterior A,Left Medial Gastrocnemius A,Right Tibialis Anterior A,Right Medial Gastrocnemius A,Left Rectus Femoris A,Left Medial Hamstrings A,Right Rectus Femoris A,Right Medial Hamstrings A,Left Peroneus A,Left Soleus A,Right Peroneus A,Right Soleus A
0.0005,3.39E-05,3.00E-05,-4.71E-05,-4.58E-05,2.23E-05,4.40E-05,-6.70E-06,-9.63E-06,4.30E-05,3.48E-05,-0.000103039,8.67E-05
0.001,3.74E-05,3.00E-05,-4.46E-05,-4.33E-05,2.09E-05,4.75E-05,-5.26E-06,-6.76E-06,5.73E-05,3.55E-05,-1.71E-05,9.49E-05
0.0015,4.18E-05,2.65E-05,-3.71E-05,-3.97E-05,2.14E-05,5.19E-05,-3.43E-06,-4.62E-06,6.47E-05,3.23E-05,8.56E-05,9.65E-05
0.002,3.54E-05,2.20E-05,-2.83E-05,-3.80E-05,2.31E-05,5.61E-05,-1.23E-06,-3.68E-06,6.78E-05,2.65E-05,0.00016889,9.30E-05
0.0025,1.51E-05,1.82E-05,-2.06E-05,-3.72E-05,2.50E-05,5.96E-05,3.11E-07,-3.13E-06,6.75E-05,2.12E-05,0.000226196,8.50E-05
0.003,-7.56E-06,1.71E-05,-1.46E-05,-3.57E-05,2.65E-05,6.23E-05,9.32E-07,-2.50E-06,6.32E-05,1.87E-05,0.000262757,7.40E-05
0.0035,-2.16E-05,1.87E-05,-1.04E-05,-3.37E-05,2.76E-05,6.46E-05,1.31E-06,-1.51E-06,5.57E-05,1.78E-05,0.000281571,6.37E-05
0.004,-3.14E-05,2.02E-05,-7.72E-06,-3.31E-05,2.87E-05,6.67E-05,1.71E-06,1.87E-07,4.69E-05,1.57E-05,0.000282578,5.83E-05
0.0045,-4.78E-05,2.01E-05,-5.77E-06,-3.46E-05,2.99E-05,6.74E-05,1.81E-06,1.14E-06,3.92E-05,1.16E-05,0.000269776,5.72E-05
0.005,-6.75E-05,2.01E-05,-6.19E-06,-3.76E-05,3.24E-05,6.71E-05,1.52E-06,-4.07E-07,3.42E-05,7.76E-06,0.000246276,5.28E-05
0.0055,-7.65E-05,2.19E-05,-1.23E-05,-4.18E-05,3.55E-05,6.66E-05,9.13E-07,-3.21E-06,3.07E-05,6.55E-06,0.000193188,3.80E-05
0.006,-6.52E-05,2.53E-05,-2.47E-05,-4.56E-05,3.78E-05,6.61E-05,3.44E-07,-4.88E-06,2.65E-05,9.32E-06,8.62E-05,1.74E-05
0.0065,-3.12E-05,2.85E-05,-3.72E-05,-4.62E-05,3.81E-05,6.53E-05,9.58E-07,-4.53E-06,2.18E-05,1.37E-05,-4.08E-05,6.25E-07
0.007,2.13E-05,3.00E-05,-4.31E-05,-4.29E-05,3.62E-05,6.39E-05,1.93E-06,-2.75E-06,1.81E-05,1.67E-05,-9.84E-05,-7.32E-06
0.0075,7.70E-05,2.81E-05,-4.25E-05,-3.86E-05,3.39E-05,6.20E-05,1.73E-06,-1.34E-06,1.63E-05,1.76E-05,-4.80E-05,-8.25E-06
0.008,0.000115345,2.39E-05,-3.84E-05,-3.63E-05,3.25E-05,6.08E-05,3.01E-07,-1.51E-06,1.58E-05,1.75E-05,5.81E-05,-5.71E-06
0.0085,0.000125368,2.07E-05,-3.44E-05,-3.68E-05,3.20E-05,6.02E-05,-1.72E-06,-3.06E-06,1.63E-05,1.78E-05,0.00014007,-1.16E-06
0.009,0.000109369,1.97E-05,-3.82E-05,-3.99E-05,3.05E-05,5.95E-05,-3.15E-06,-4.69E-06,1.82E-05,1.78E-05,0.000143998,4.69E-06
0.0095,7.89E-05,1.96E-05,-5.25E-05,-4.27E-05,2.79E-05,5.76E-05,-4.01E-06,-6.11E-06,2.12E-05,1.66E-05,6.33E-05,1.01E-05
0.01,4.75E-05,1.81E-05,-6.93E-05,-4.27E-05,2.53E-05,5.48E-05,-4.55E-06,-9.09E-06,2.43E-05,1.51E-05,-7.20E-05,1.23E-05
0.0105,2.57E-05,1.41E-05,-8.11E-05,-4.04E-05,2.29E-05,5.19E-05,-4.45E-06,-1.28E-05,2.48E-05,1.29E-05,-0.000215419,9.33E-06
0.011,1.79E-05,8.44E-06,-8.60E-05,-3.81E-05,2.04E-05,4.96E-05,-4.30E-06,-1.40E-05,2.01E-05,1.01E-05,-0.000313323,2.75E-06
0.0115,2.11E-05,4.73E-06,-8.54E-05,-3.76E-05,1.85E-05,4.74E-05,-4.77E-06,-1.28E-05,1.25E-05,7.82E-06,-0.00033042,-3.00E-06
0.012,2.82E-05,5.21E-06,-8.11E-05,-4.01E-05,1.71E-05,4.56E-05,-5.97E-06,-1.15E-05,8.05E-06,7.34E-06,-0.000281056,-5.47E-06
0.0125,3.27E-05,7.85E-06,-7.53E-05,-4.59E-05,1.65E-05,4.46E-05,-7.34E-06,-1.19E-05,1.12E-05,8.53E-06,-0.000224195,-5.73E-06
0.013,3.42E-05,7.38E-06,-6.86E-05,-5.42E-05,1.65E-05,4.45E-05,-8.41E-06,-1.37E-05,2.04E-05,9.40E-06,-0.000220466,-3.34E-06
0.0135,4.04E-05,2.46E-06,-6.16E-05,-6.31E-05,1.69E-05,4.48E-05,-9.31E-06,-1.54E-05,2.63E-05,8.75E-06,-0.000285634,4.91E-06
0.014,5.89E-05,-3.38E-06,-5.50E-05,-7.09E-05,1.70E-05,4.55E-05,-9.87E-06,-1.58E-05,1.97E-05,7.60E-06,-0.000375436,1.97E-05
0.0145,8.59E-05,-5.81E-06,-4.81E-05,-7.58E-05,1.66E-05,4.69E-05,-9.63E-06,-1.48E-05,3.36E-06,8.05E-06,-0.000423559,3.75E-05
0.015,0.000107357,-3.52E-06,-4.05E-05,-7.69E-05,1.63E-05,4.88E-05,-8.83E-06,-1.39E-05,-1.03E-05,1.06E-05,-0.000395672,5.39E-05
0.0155,0.000108701,2.09E-06,-3.22E-05,-7.46E-05,1.67E-05,5.02E-05,-8.61E-06,-1.41E-05,-1.29E-05,1.42E-05,-0.000295553,6.71E-05
0.016,8.46E-05,8.53E-06,-2.45E-05,-6.99E-05,1.74E-05,5.01E-05,-9.76E-06,-1.55E-05,-5.32E-06,1.81E-05,-0.000137469,7.62E-05
0.0165,4.17E-05,1.32E-05,-1.77E-05,-6.48E-05,1.79E-05,4.92E-05,-1.18E-05,-1.72E-05,7.69E-06,2.15E-05,5.82E-05,8.08E-05
0.017,-5.72E-06,1.54E-05,-1.18E-05,-6.08E-05,1.80E-05,4.82E-05,-1.35E-05,-1.81E-05,2.44E-05,2.32E-05,0.000253163,8.15E-05
0.0175,-4.50E-05,1.44E-05,-7.26E-06,-5.78E-05,1.86E-05,4.83E-05,-1.41E-05,-1.71E-05,4.22E-05,2.21E-05,0.000402232,8.01E-05
0.018,-7.32E-05,9.13E-06,-6.71E-06,-5.50E-05,2.01E-05,4.91E-05,-1.34E-05,-1.49E-05,5.46E-05,1.79E-05,0.000474815,7.83E-05
0.0185,-9.51E-05,1.40E-06,-1.23E-05,-5.31E-05,2.19E-05,5.02E-05,-1.23E-05,-1.38E-05,5.35E-05,1.16E-05,0.000457633,7.54E-05
0.019,-0.00011196,-3.76E-06,-2.33E-05,-5.28E-05,2.32E-05,5.18E-05,-1.12E-05,-1.42E-05,3.94E-05,5.02E-06,0.000342189,7.04E-05
0.0195,-0.000114375,-1.90E-06,-3.65E-05,-5.38E-05,2.43E-05,5.40E-05,-1.03E-05,-1.49E-05,2.53E-05,2.94E-07,0.000133694,6.38E-05
0.02,-9.03E-05,6.06E-06,-4.73E-05,-5.39E-05,2.59E-05,5.64E-05,-9.94E-06,-1.40E-05,2.35E-05,-2.10E-06,-0.000104879,5.63E-05
0.0205,-3.66E-05,1.50E-05,-5.27E-05,-5.13E-05,2.79E-05,5.91E-05,-9.89E-06,-1.02E-05,2.96E-05,-2.51E-06,-0.000252016,4.84E-05
0.021,4.02E-05,2.07E-05,-5.28E-05,-4.72E-05,3.02E-05,6.13E-05,-9.09E-06,-5.21E-06,2.65E-05,-1.74E-06,-0.000234072,4.28E-05
0.0215,0.000122747,2.27E-05,-5.11E-05,-4.48E-05,3.18E-05,6.18E-05,-7.52E-06,-2.23E-06,6.52E-06,-1.19E-07,-0.000116352,4.19E-05
0.022,0.000179589,2.31E-05,-5.34E-05,-4.40E-05,3.21E-05,6.10E-05,-6.21E-06,-7.16E-07,-1.90E-05,4.00E-06,-3.87E-05,4.61E-05
0.0225,0.000179207,2.50E-05,-6.12E-05,-4.37E-05,3.25E-05,6.02E-05,-4.10E-06,9.66E-07,-3.27E-05,1.16E-05,-8.69E-05,5.42E-05
0.023,0.00012469,3.06E-05,-6.84E-05,-4.31E-05,3.46E-05,6.02E-05,-1.47E-06,1.24E-06,-2.64E-05,1.98E-05,-0.000232973,6.17E-05
0.0235,5.51E-05,3.60E-05,-7.15E-05,-4.37E-05,3.65E-05,6.03E-05,-1.50E-07,-7.39E-07,-4.87E-06,2.36E-05,-0.000370864,6.46E-05
0.024,3.58E-06,3.70E-05,-7.40E-05,-4.63E-05,3.72E-05,5.96E-05,1.45E-06,-2.83E-06,2.44E-05,2.23E-05,-0.000418003,6.24E-05
0.0245,-2.49E-05,3.38E-05,-7.62E-05,-4.89E-05,3.72E-05,5.85E-05,2.75E-06,-2.47E-06,5.25E-05,2.03E-05,-0.000375938,5.81E-05
0.025,-4.26E-05,2.95E-05,-7.07E-05,-4.82E-05,3.76E-05,5.74E-05,3.39E-06,6.13E-07,7.13E-05,2.04E-05,-0.000284196,5.39E-05
0.0255,-5.61E-05,2.65E-05,-5.11E-05,-4.40E-05,3.99E-05,5.74E-05,4.37E-06,4.35E-06,7.69E-05,2.02E-05,-0.000159826,4.97E-05
0.026,-5.97E-05,2.63E-05,-2.25E-05,-3.99E-05,4.23E-05,5.80E-05,4.64E-06,5.92E-06,7.16E-05,1.83E-05,-1.29E-05,4.57E-05
0.0265,-4.11E-05,2.84E-05,-1.31E-07,-3.85E-05,4.26E-05,5.75E-05,4.10E-06,4.66E-06,6.36E-05,1.73E-05,0.000120234,4.38E-05
0.027,4.26E-06,2.88E-05,7.64E-06,-3.97E-05,4.18E-05,5.62E-05,3.29E-06,2.80E-06,6.05E-05,1.93E-05,0.000204987,4.64E-05
0.0275,5.89E-05,2.63E-05,3.04E-06,-4.16E-05,4.01E-05,5.43E-05,2.31E-06,1.62E-06,6.11E-05,2.26E-05,0.000237823,5.15E-05
0.028,9.40E-05,2.24E-05,-6.29E-06,-4.27E-05,3.77E-05,5.28E-05,2.17E-06,5.52E-07,5.92E-05,2.51E-05,0.00023709,5.52E-05
0.0285,9.37E-05,1.88E-05,-1.65E-05,-4.38E-05,3.55E-05,5.18E-05,3.46E-06,-6.30E-07,5.43E-05,2.52E-05,0.000220842,5.54E-05
0.029,6.50E-05,1.56E-05,-2.83E-05,-4.64E-05,3.43E-05,5.11E-05,4.87E-06,-1.96E-06,4.91E-05,2.37E-05,0.000203089,5.23E-05
0.0295,2.92E-05,1.14E-05,-3.85E-05,-4.87E-05,3.46E-05,5.05E-05,5.11E-06,-4.05E-06,4.19E-05,2.18E-05,0.000198241,4.79E-05
0.03,5.75E-06,6.96E-06,-4.10E-05,-4.85E-05,3.55E-05,4.98E-05,4.01E-06,-6.67E-06,2.97E-05,1.99E-05,0.000212244,4.53E-05
0.0305,1.36E-06,3.43E-06,-3.67E-05,-4.72E-05,3.58E-05,4.82E-05,2.50E-06,-9.07E-06,1.47E-05,1.82E-05,0.000231283,4.58E-05
0.031,1.11E-05,1.02E-06,-3.29E-05,-4.70E-05,3.49E-05,4.57E-05,1.58E-06,-1.06E-05,3.75E-06,1.70E-05,0.000234007,4.67E-05
0.0315,2.53E-05,-2.64E-07,-3.56E-05,-4.78E-05,3.27E-05,4.22E-05,1.29E-06,-1.12E-05,1.52E-06,1.51E-05,0.000211776,4.59E-05
0.032,3.61E-05,-1.40E-06,-4.38E-05,-4.86E-05,2.90E-05,3.77E-05,1.44E-08,-1.21E-05,6.24E-06,1.18E-05,0.000174898,4.46E-05
0.0325,4.22E-05,-3.58E-06,-5.23E-05,-4.87E-05,2.43E-05,3.30E-05,-3.12E-06,-1.47E-05,1.08E-05,8.92E-06,0.000142968,4.22E-05
0.033,5.05E-05,-5.45E-06,-5.81E-05,-4.89E-05,1.87E-05,2.97E-05,-6.92E-06,-1.87E-05,8.04E-06,9.00E-06,0.000128795,3.59E-05
0.0335,6.99E-05,-5.34E-06,-6.17E-05,-5.00E-05,1.36E-05,2.79E-05,-9.64E-06,-2.17E-05,-3.33E-06,1.28E-05,0.000132312,2.45E-05
0.034,9.60E-05,-4.78E-06,-6.46E-05,-5.17E-05,1.05E-05,2.67E-05,-1.04E-05,-2.23E-05,-1.70E-05,1.81E-05,0.000146966,1.09E-05
0.0345,0.000104455,-4.71E-06,-6.62E-05,-5.37E-05,1.04E-05,2.52E-05,-1.01E-05,-2.07E-05,-2.37E-05,2.21E-05,0.000166672,-9.43E-07
0.035,7.64E-05,-2.82E-06,-6.52E-05,-5.62E-05,1.23E-05,2.33E-05,-9.54E-06,-1.84E-05,-2.01E-05,2.33E-05,0.000187681,-8.62E-06
0.0355,1.82E-05,2.40E-06,-6.19E-05,-6.10E-05,1.44E-05,2.09E-05,-9.05E-06,-1.74E-05,-1.06E-05,2.29E-05,0.000207556,-9.77E-06
0.036,-5.05E-05,9.83E-06,-5.79E-05,-6.78E-05,1.60E-05,1.84E-05,-8.63E-06,-1.77E-05,2.82E-07,2.32E-05,0.000221899,-5.07E-06
0.0365,-0.000109878,1.56E-05,-5.32E-05,-7.24E-05,1.75E-05,1.71E-05,-8.58E-06,-1.78E-05,7.99E-06,2.34E-05,0.00022521,1.56E-06
0.037,-0.000145068,1.67E-05,-4.69E-05,-7.11E-05,1.88E-05,1.67E-05,-9.53E-06,-1.77E-05,6.77E-06,2.13E-05,0.000216494,8.12E-06
0.0375,-0.000148869,1.40E-05,-4.06E-05,-6.45E-05,1.95E-05,1.79E-05,-1.07E-05,-1.87E-05,-4.21E-06,1.65E-05,0.00020022,1.52E-05
0.038,-0.000122829,1.13E-05,-3.61E-05,-5.69E-05,2.00E-05,2.02E-05,-1.09E-05,-1.95E-05,-1.53E-05,1.03E-05,0.00018237,2.31E-05
0.0385,-6.98E-05,1.09E-05,-3.45E-05,-5.24E-05,2.05E-05,2.20E-05,-9.89E-06,-1.79E-05,-1.69E-05,4.87E-06,0.000167864,3.20E-05
0.039,6.73E-06,1.17E-05,-3.53E-05,-5.07E-05,2.15E-05,2.29E-05,-8.26E-06,-1.45E-05,-9.57E-06,8.18E-07,0.000160503,4.11E-05
0.0395,9.17E-05,1.29E-05,-3.56E-05,-4.91E-05,2.31E-05,2.35E-05,-7.16E-06,-1.15E-05,1.84E-06,-3.15E-06,0.000163399,4.87E-05
0.04,0.000159016,1.57E-05,-3.32E-05,-4.66E-05,2.41E-05,2.42E-05,-6.74E-06,-9.76E-06,1.50E-05,-6.35E-06,0.000176638,5.41E-05
0.0405,0.000185515,1.99E-05,-2.88E-05,-4.27E-05,2.41E-05,2.42E-05,-6.05E-06,-9.12E-06,2.82E-05,-5.52E-06,0.000197925,5.74E-05
0.041,0.000168511,2.45E-05,-2.38E-05,-3.81E-05,2.38E-05,2.39E-05,-4.75E-06,-8.18E-06,3.79E-05,1.41E-06,0.000227821,5.87E-05
0.0415,0.000127881,2.95E-05,-1.89E-05,-3.45E-05,2.36E-05,2.42E-05,-2.93E-06,-6.69E-06,4.17E-05,1.25E-05,0.000265539,5.81E-05
0.042,8.67E-05,3.54E-05,-1.51E-05,-3.28E-05,2.43E-05,2.54E-05,-8.33E-07,-4.64E-06,4.19E-05,2.40E-05,0.000299539,5.59E-05
0.0425,5.26E-05,4.07E-05,-1.43E-05,-3.17E-05,2.59E-05,2.63E-05,8.84E-07,-2.35E-06,4.27E-05,3.28E-05,0.000312744,5.35E-05
0.043,2.08E-05,4.29E-05,-1.64E-05,-2.97E-05,2.78E-05,2.65E-05,1.67E-06,-7.78E-07,4.46E-05,3.75E-05,0.000294134,5.23E-05
0.0435,-9.50E-06,4.23E-05,-2.01E-05,-2.74E-05,2.94E-05,2.65E-05,1.27E-06,-8.96E-07,4.38E-05,3.84E-05,0.00023525,5.29E-05
0.044,-3.01E-05,4.10E-05,-2.57E-05,-2.70E-05,3.02E-05,2.65E-05,1.76E-07,-2.06E-06,3.75E-05,3.67E-05,0.000124732,5.52E-05
0.0445,-3.36E-05,3.90E-05,-3.50E-05,-2.92E-05,3.04E-05,2.66E-05,-3.66E-07,-2.71E-06,2.73E-05,3.43E-05,-3.74E-05,5.82E-05
0.045,-2.38E-05,3.67E-05,-4.65E-05,-3.27E-05,3.07E-05,2.66E-05,2.63E-07,-2.27E-06,1.77E-05,3.28E-05,-0.000225886,5.93E-05
0.0455,-1.43E-05,3.60E-05,-5.40E-05,-3.50E-05,3.19E-05,2.60E-05,1.48E-06,-1.47E-06,1.29E-05,3.30E-05,-0.000397394,5.54E-05
0.046,-2.07E-05,3.78E-05,-5.39E-05,-3.53E-05,3.40E-05,2.48E-05,2.63E-06,-1.89E-06,1.63E-05,3.30E-05,-0.000503253,4.68E-05
0.0465,-5.42E-05,3.94E-05,-5.08E-05,-3.39E-05,3.56E-05,2.39E-05,3.72E-06,-3.84E-06,2.52E-05,3.14E-05,-0.000508411,3.67E-05
0.047,-0.000114829,3.84E-05,-5.07E-05,-3.15E-05,3.59E-05,2.35E-05,4.89E-06,-6.35E-06,2.90E-05,2.75E-05,-0.000423752,2.79E-05
0.0475,-0.000183897,3.67E-05,-5.24E-05,-3.05E-05,3.54E-05,2.25E-05,6.49E-06,-7.92E-06,2.25E-05,2.19E-05,-0.00030298,2.28E-05
0.048,-0.00023394,3.70E-05,-5.12E-05,-3.30E-05,3.48E-05,2.12E-05,8.63E-06,-7.81E-06,1.48E-05,1.74E-05,-0.000189175,2.25E-05
0.0485,-0.000236442,3.75E-05,-4.67E-05,-3.88E-05,3.34E-05,2.11E-05,1.07E-05,-7.02E-06,1.47E-05,1.63E-05,-8.82E-05,2.56E-05
0.049,-0.000169798,3.64E-05,-4.41E-05,-4.63E-05,3.12E-05,2.21E-05,1.13E-05,-6.70E-06,1.73E-05,1.78E-05,1.14E-05,2.96E-05
0.0495,-3.25E-05,3.32E-05,-4.60E-05,-5.20E-05,2.82E-05,2.37E-05,1.02E-05,-6.96E-06,1.37E-05,1.88E-05,0.000123796,3.17E-05
0.05,0.000140651,2.73E-05,-4.95E-05,-5.48E-05,2.53E-05,2.63E-05,7.84E-06,-8.07E-06,5.59E-06,1.61E-05,0.000249364,3.06E-05
0.0505,0.000253656,2.12E-05,-5.03E-05,-5.64E-05,2.43E-05,2.86E-05,5.39E-06,-1.05E-05,4.12E-06,9.04E-06,0.000369693,2.72E-05
0.051,0.000224848,1.67E-05,-4.52E-05,-5.70E-05,2.50E-05,2.90E-05,4.60E-06,-1.39E-05,1.67E-05,3.04E-06,0.000474533,2.46E-05
0.0515,0.000102482,1.33E-05,-3.52E-05,-5.70E-05,2.64E-05,2.83E-05,4.68E-06,-1.74E-05,3.64E-05,2.46E-06,0.000557376,2.55E-05
0.052,2.58E-05,1.08E-05,-2.43E-05,-5.52E-05,2.69E-05,2.74E-05,2.45E-06,-1.89E-05,4.64E-05,5.85E-06,0.000608453,3.04E-05
0.0525,6.79E-05,6.33E-06,-1.49E-05,-5.00E-05,2.57E-05,2.54E-05,-1.58E-06,-1.80E-05,3.71E-05,6.49E-06,0.000609055,3.61E-05
0.053,0.00017567,-1.44E-06,-8.82E-06,-4.12E-05,2.38E-05,2.26E-05,-4.84E-06,-1.57E-05,1.19E-05,1.03E-06,0.000526118,3.98E-05
0.0535,0.000247697,-8.48E-06,-1.18E-05,-3.28E-05,2.21E-05,1.97E-05,-7.13E-06,-1.47E-05,-1.25E-05,-6.35E-06,0.000334065,4.15E-05
0.054,0.000246125,-1.01E-05,-2.82E-05,-2.98E-05,2.07E-05,1.71E-05,-9.34E-06,-1.59E-05,-1.89E-05,-1.07E-05,1.56E-05,4.10E-05
0.0545,0.000213579,-6.01E-06,-5.67E-05,-3.29E-05,2.06E-05,1.51E-05,-1.22E-05,-1.79E-05,-6.94E-06,-1.02E-05,-0.000407735,3.80E-05
0.055,0.000196716,4.79E-07,-9.02E-05,-3.77E-05,2.19E-05,1.37E-05,-1.53E-05,-1.89E-05,1.01E-05,-6.01E-06,-0.000808403,3.36E-05
0.0555,0.000194881,5.10E-06,-0.000115824,-3.90E-05,2.51E-05,1.20E-05,-1.76E-05,-1.91E-05,2.03E-05,5.70E-07,-0.001004528,3.14E-05
0.056,0.000181979,7.54E-06,-0.000121324,-3.64E-05,2.84E-05,9.74E-06,-1.89E-05,-1.92E-05,2.20E-05,8.61E-06,-0.000932774,3.24E-05
0.0565,0.000150107,1.04E-05,-0.000106561,-3.27E-05,3.00E-05,7.66E-06,-1.85E-05,-1.93E-05,1.93E-05,1.64E-05,-0.000706125,3.46E-05
0.057,0.000112864,1.39E-05,-8.17E-05,-2.98E-05,2.91E-05,7.15E-06,-1.68E-05,-1.90E-05,1.58E-05,2.20E-05,-0.000479025,3.59E-05
0.0575,8.34E-05,1.63E-05,-5.84E-05,-2.85E-05,2.66E-05,8.67E-06,-1.43E-05,-1.82E-05,1.29E-05,2.52E-05,-0.000314459,3.57E-05
0.058,6.31E-05,1.66E-05,-4.32E-05,-2.97E-05,2.42E-05,1.10E-05,-1.15E-05,-1.67E-05,1.19E-05,2.64E-05,-0.000196461,3.37E-05
0.0585,4.78E-05,1.61E-05,-3.65E-05,-3.32E-05,2.24E-05,1.30E-05,-8.49E-06,-1.47E-05,1.27E-05,2.65E-05,-0.000105537,2.95E-05
0.059,3.34E-05,1.68E-05,-3.39E-05,-3.68E-05,2.13E-05,1.48E-05,-5.61E-06,-1.25E-05,1.44E-05,2.57E-05,-4.26E-05,2.42E-05
0.0595,2.03E-05,1.92E-05,-3.09E-05,-3.93E-05,2.09E-05,1.69E-05,-3.30E-06,-1.15E-05,1.60E-05,2.40E-05,-6.41E-06,2.00E-05
0.06,1.02E-05,2.22E-05,-2.66E-05,-4.09E-05,2.14E-05,1.87E-05,-2.26E-06,-1.21E-05,1.77E-05,2.16E-05,1.76E-05,1.96E-05
0.0605,5.10E-06,2.45E-05,-2.13E-05,-4.11E-05,2.31E-05,2.03E-05,-2.44E-06,-1.32E-05,1.89E-05,1.97E-05,4.17E-05,2.40E-05
0.061,3.86E-06,2.60E-05,-1.55E-05,-3.95E-05,2.46E-05,2.15E-05,-2.42E-06,-1.38E-05,1.94E-05,1.86E-05,6.60E-05,3.07E-05
0.0615,3.94E-06,2.83E-05,-9.35E-06,-3.77E-05,2.51E-05,2.27E-05,-8.16E-07,-1.24E-05,2.12E-05,1.82E-05,8.78E-05,3.69E-05
0.062,4.11E-06,3.17E-05,-4.95E-06,-3.73E-05,2.52E-05,2.33E-05,1.85E-06,-9.19E-06,2.48E-05,1.96E-05,0.00010759,4.03E-05
0.0625,4.28E-06,3.52E-05,-5.06E-06,-3.83E-05,2.53E-05,2.30E-05,4.05E-06,-6.40E-06,2.92E-05,2.34E-05,0.000123497,4.17E-05
0.063,2.56E-06,3.77E-05,-1.05E-05,-3.97E-05,2.50E-05,2.23E-05,5.31E-06,-5.33E-06,3.39E-05,2.77E-05,0.000130501,4.24E-05
0.0635,-3.99E-06,3.88E-05,-1.95E-05,-4.19E-05,2.40E-05,2.19E-05,6.22E-06,-5.22E-06,4.08E-05,2.99E-05,0.000126768,4.25E-05
0.064,-1.61E-05,3.79E-05,-2.79E-05,-4.54E-05,2.24E-05,2.16E-05,6.25E-06,-4.98E-06,5.03E-05,2.88E-05,0.000121113,4.06E-05
0.0645,-3.11E-05,3.60E-05,-3.17E-05,-4.89E-05,2.09E-05,2.08E-05,4.99E-06,-5.11E-06,5.67E-05,2.53E-05,0.000124947,3.78E-05
0.065,-4.28E-05,3.38E-05,-2.99E-05,-5.06E-05,2.07E-05,1.94E-05,4.18E-06,-5.82E-06,5.09E-05,2.08E-05,0.000138175,3.80E-05
0.0655,-4.67E-05,3.14E-05,-2.54E-05,-5.02E-05,2.12E-05,1.74E-05,5.06E-06,-6.31E-06,3.33E-05,1.70E-05,0.000150074,4.11E-05
0.066,-4.55E-05,2.88E-05,-2.22E-05,-4.96E-05,2.13E-05,1.55E-05,7.01E-06,-6.09E-06,1.61E-05,1.45E-05,0.000154565,4.42E-05
0.0665,-4.81E-05,2.53E-05,-2.25E-05,-4.96E-05,2.06E-05,1.46E-05,8.44E-06,-4.74E-06,1.14E-05,1.26E-05,0.000156008,4.50E-05
0.067,-5.76E-05,2.17E-05,-2.53E-05,-4.98E-05,2.00E-05,1.38E-05,7.98E-06,-3.32E-06,1.84E-05,1.17E-05,0.000162135,4.38E-05
0.0675,-6.64E-05,1.90E-05,-2.83E-05,-5.00E-05,2.02E-05,1.16E-05,5.68E-06,-3.52E-06,2.69E-05,1.18E-05,0.000174278,4.22E-05
0.068,-6.39E-05,1.71E-05,-3.06E-05,-5.04E-05,2.10E-05,7.98E-06,2.79E-06,-5.43E-06,2.97E-05,1.23E-05,0.000186379,4.14E-05
0.0685,-4.95E-05,1.55E-05,-3.18E-05,-5.04E-05,2.32E-05,3.54E-06,5.64E-07,-8.02E-06,2.81E-05,1.34E-05,0.000193725,4.04E-05
0.069,-3.10E-05,1.37E-05,-3.22E-05,-5.02E-05,2.63E-05,-6.79E-07,-4.83E-07,-9.71E-06,2.66E-05,1.45E-05,0.000198746,3.78E-05
0.0695,-1.68E-05,1.25E-05,-3.25E-05,-5.00E-05,2.90E-05,-3.70E-06,-5.30E-07,-1.06E-05,2.75E-05,1.48E-05,0.000209076,3.45E-05
0.07,-9.96E-06,1.19E-05,-3.37E-05,-5.02E-05,3.00E-05,-5.54E-06,1.57E-07,-1.14E-05,2.89E-05,1.45E-05,0.000230174,3.28E-05
0.0705,-1.01E-05,1.08E-05,-3.67E-05,-5.10E-05,2.96E-05,-6.29E-06,9.62E-07,-1.31E-05,2.84E-05,1.42E-05,0.000259282,3.44E-05
0.071,-1.40E-05,8.10E-06,-4.01E-05,-5.11E-05,2.91E-05,-5.83E-06,1.16E-06,-1.50E-05,2.56E-05,1.45E-05,0.000285926,3.91E-05
0.0715,-1.77E-05,3.69E-06,-4.24E-05,-5.00E-05,2.94E-05,-4.20E-06,6.95E-07,-1.58E-05,2.02E-05,1.42E-05,0.000297778,4.39E-05
0.072,-1.95E-05,-6.42E-07,-4.35E-05,-4.86E-05,3.02E-05,-1.86E-06,4.01E-08,-1.58E-05,1.27E-05,1.26E-05,0.000287177,4.55E-05
0.0725,-2.03E-05,-3.49E-06,-4.44E-05,-4.81E-05,3.07E-05,6.84E-07,-2.87E-07,-1.58E-05,4.92E-06,1.04E-05,0.000250952,4.27E-05
0.073,-2.08E-05,-5.25E-06,-4.60E-05,-4.87E-05,3.08E-05,3.11E-06,-1.48E-07,-1.56E-05,-1.18E-06,8.69E-06,0.000187435,3.85E-05
0.0735,-2.23E-05,-7.04E-06,-4.81E-05,-4.95E-05,3.13E-05,5.63E-06,2.07E-07,-1.58E-05,-5.85E-06,7.95E-06,9.56E-05,3.55E-05
0.074,-2.80E-05,-8.61E-06,-5.23E-05,-4.96E-05,3.21E-05,8.32E-06,2.93E-07,-1.79E-05,-9.70E-06,9.00E-06,-2.48E-05,3.33E-05
0.0745,-3.90E-05,-8.55E-06,-6.02E-05,-4.99E-05,3.27E-05,1.06E-05,4.65E-07,-2.03E-05,-1.12E-05,1.17E-05,-0.000165068,3.20E-05
0.075,-4.75E-05,-6.92E-06,-6.98E-05,-5.07E-05,3.27E-05,1.22E-05,1.64E-06,-2.11E-05,-8.33E-06,1.50E-05,-0.000288165,3.25E-05
